call_id,ref_total_entities,ref_unique_entities,gt_total_entities,gt_unique_entities,concerned_ref_entities,concerned_gt_entities,unique_concerned_ref_entities,unique_concerned_gt_entities,mispronunciation_count,pronunciation_ids
03261666-7d82-49ec-8d6e-78c2f716ad73,,10,,3,1,1,1,1,0,
03856e6b-6925-4012-8eb8-0a0289019b7e,,12,,9,6,1,2,1,0,
09f69426-e7e6-4f2a-a20a-75416d945306,,9,,11,15,15,4,3,0,
1bf3729b-c0a7-4f65-a846-88c8aa31a473,,4,,4,7,2,2,1,0,
268dbd88-173b-41a1-8363-4a6ba62b9aae,,5,,4,4,3,3,2,0,
332017b6-9f62-444d-a657-7b733bc727fc,,11,,10,1,1,1,1,0,
3502253e-259a-42d3-ab70-7aedabeb81fa,,16,,11,9,2,4,2,0,
429ac8a5-6f19-46b3-97bb-8e55feec389e,,14,,9,3,2,2,1,0,
482181f8-15e2-4ced-8a9a-67facdd9c6fc,,17,,10,1,1,1,1,0,
5cdef144-9d6a-4100-9be6-8489f90fc466,,10,,10,11,2,5,2,0,
5f4d919f-b1bc-4a3d-9d98-1f8279d51215,,6,,5,11,2,4,2,0,
750dfc05-c2c4-4937-a85d-46f597dc9880,,13,,13,10,2,4,2,0,
79e02e46-ea93-4669-9dc1-6c4339dcc6ba,,13,,12,3,3,3,2,1,KVEpQ
7bbd5f06-2ac0-4227-be76-4ce7ef7cb567,,17,,7,13,6,7,2,0,
7fd6b5f9-8b11-4085-b864-a16f92504e53,,8,,6,12,13,4,2,0,
8daee0cc-cbda-4cdf-b8ed-f120e3329138,,8,,7,3,1,2,1,0,
99d176ec-e484-4937-ae0b-9d6d2d7cb5c5,,9,,7,2,2,1,1,0,
a26f3d38-ed43-4289-8d34-9ee376fb779d,,12,,11,1,8,1,1,3,nZ8rz;V3ZDi;qVuQg
b94c0a58-b1c3-4bc8-ba02-0848b0a2af8f,,10,,6,22,13,8,3,0,
c5f1aee1-8170-4c1b-93e0-1f8366882689,,6,,8,2,2,2,2,0,
d24a5dc2-ac06-4f13-bbd1-5ec010d8d27c,,18,,8,8,3,8,3,0,
d521ea56-2e7b-4908-8cca-acf4a0f89337,,13,,10,12,2,4,2,0,
d7c521ce-dbcb-4c23-a776-66b38d8127b4,,13,,14,1,1,1,1,3,06PHq;c0fMl;rtcxo
d9aa182c-b21e-4ad5-8138-18d0e9f69b84,,24,,23,3,1,2,1,0,
e69e62f6-954a-4d0a-9989-2a2d562f66fe,,20,,8,15,1,7,1,0,
eacbcb92-6172-41f7-b2a9-0c4df5a3a597,,14,,14,3,1,2,1,0,
ec85480e-604c-4070-938f-b832e4904e9e,,11,,11,9,4,4,2,0,
