call_id,all_entities_eer,all_substitutions,all_insertions,all_deletions,all_correct,all_ref_total,all_hyp_total,concerned_entities_eer,concerned_substitutions,concerned_insertions,concerned_deletions,concerned_correct,concerned_ref_total,concerned_hyp_total,mispronunciation_count,pronunciation_ids
03261666-7d82-49ec-8d6e-78c2f716ad73,60.0,2,1,8,0,11,4,83.33,1,2,4,0,6,4,0,
03856e6b-6925-4012-8eb8-0a0289019b7e,22.22222222222222,2,1,9,0,20,17,16.67,2,1,8,0,18,17,0,
09f69426-e7e6-4f2a-a20a-75416d945306,28.57,10,1,16,0,28,21,7.69,2,12,12,0,26,16,0,
1bf3729b-c0a7-4f65-a846-88c8aa31a473,18.18,2,0,7,0,11,9,66.67,2,0,1,0,3,2,0,
268dbd88-173b-41a1-8363-4a6ba62b9aae,12.5,3,0,10,0,18,16,20.0,3,0,12,0,18,15,0,
332017b6-9f62-444d-a657-7b733bc727fc,16.67,3,1,1,0,15,14,11.11111111111111,2,0,0,0,18,18,0,
3502253e-259a-42d3-ab70-7aedabeb81fa,70.0,17,0,11,0,31,26,60.0,7,0,12,0,23,15,0,
429ac8a5-6f19-46b3-97bb-8e55feec389e,88.88888888888889,11,22,12,0,27,47,88.88888888888889,10,18,13,0,18,31,0,
482181f8-15e2-4ced-8a9a-67facdd9c6fc,21.43,3,2,6,0,18,13,50.0,3,1,8,0,15,9,0,
5cdef144-9d6a-4100-9be6-8489f90fc466,13.33,6,1,4,0,15,15,18.18,1,1,8,0,11,11,0,
5f4d919f-b1bc-4a3d-9d98-1f8279d51215,45.45,2,2,7,0,13,14,72.73,1,0,10,0,12,11,0,
750dfc05-c2c4-4937-a85d-46f597dc9880,46.15,6,3,7,0,17,16,27.27,2,7,6,0,13,10,0,
79e02e46-ea93-4669-9dc1-6c4339dcc6ba,21.43,7,2,7,0,16,15,72.73,7,0,4,0,11,11,1,KVEpQ
7bbd5f06-2ac0-4227-be76-4ce7ef7cb567,70.0,13,0,17,0,30,16,72.73,1,0,23,0,24,11,0,
7fd6b5f9-8b11-4085-b864-a16f92504e53,88.23529411764706,11,13,16,0,20,26,66.67,1,8,11,0,15,10,0,
8daee0cc-cbda-4cdf-b8ed-f120e3329138,75.0,6,0,5,0,12,11,62.5,2,0,6,0,9,8,0,
99d176ec-e484-4937-ae0b-9d6d2d7cb5c5,46.15,4,2,4,0,15,14,75.0,2,2,4,0,8,6,0,
a26f3d38-ed43-4289-8d34-9ee376fb779d,60.0,2,24,16,0,32,40,8.33,1,21,0,0,24,46,3,nZ8rz;qVuQg;V3ZDi
b94c0a58-b1c3-4bc8-ba02-0848b0a2af8f,76.47,4,12,12,0,18,16,76.92,1,12,13,0,16,15,0,
c5f1aee1-8170-4c1b-93e0-1f8366882689,20.0,2,17,9,0,21,38,25.0,2,11,4,0,8,13,0,
d24a5dc2-ac06-4f13-bbd1-5ec010d8d27c,50.0,4,0,6,0,14,10,22.22222222222222,1,0,6,0,10,7,0,
d521ea56-2e7b-4908-8cca-acf4a0f89337,50.0,6,0,11,0,22,15,76.47,7,0,10,0,17,9,0,
d7c521ce-dbcb-4c23-a776-66b38d8127b4,20.0,4,2,2,0,14,15,18.18,4,1,2,0,11,12,3,06PHq;rtcxo;c0fMl
d9aa182c-b21e-4ad5-8138-18d0e9f69b84,66.67,10,18,11,0,27,39,62.5,10,18,6,0,20,34,0,
e69e62f6-954a-4d0a-9989-2a2d562f66fe,75.0,8,11,5,0,13,19,66.67,7,3,5,0,9,12,0,
eacbcb92-6172-41f7-b2a9-0c4df5a3a597,23.076923076923077,7,0,7,0,26,26,7.69,2,0,10,0,22,14,0,
ec85480e-604c-4070-938f-b832e4904e9e,28.57,2,3,7,0,17,16,25.0,1,2,4,0,11,10,0,
