call_id,all_entities_eer,all_substitutions,all_insertions,all_deletions,all_correct,all_ref_total,all_hyp_total,concerned_entities_eer,concerned_substitutions,concerned_insertions,concerned_deletions,concerned_correct,concerned_ref_total,concerned_hyp_total,mispronunciation_count,pronunciation_ids
03261666-7d82-49ec-8d6e-78c2f716ad73,91.67,4,0,7,1,12,5,83.33,3,0,2,1,6,4,0,
03856e6b-6925-4012-8eb8-0a0289019b7e,63.64,5,3,6,11,22,19,60.0,5,3,4,11,20,19,0,
09f69426-e7e6-4f2a-a20a-75416d945306,108.57,2,13,23,10,35,25,66.67,1,2,17,12,30,15,0,
1bf3729b-c0a7-4f65-a846-88c8aa31a473,66.67,6,0,2,4,12,10,100.0,6,0,2,0,8,6,0,
268dbd88-173b-41a1-8363-4a6ba62b9aae,94.44,16,1,0,2,18,19,94.12,15,1,0,2,17,18,0,
332017b6-9f62-444d-a657-7b733bc727fc,64.29,8,0,1,5,14,13,66.67,5,0,1,3,9,8,0,
3502253e-259a-42d3-ab70-7aedabeb81fa,88.24,22,0,8,4,34,26,85.71,17,0,7,4,28,21,0,
429ac8a5-6f19-46b3-97bb-8e55feec389e,142.31,13,16,8,5,26,34,194.12,4,18,11,2,17,24,0,
482181f8-15e2-4ced-8a9a-67facdd9c6fc,70.0,7,0,7,6,20,13,87.5,7,0,7,2,16,9,0,
5cdef144-9d6a-4100-9be6-8489f90fc466,70.37,5,2,12,10,27,17,47.37,1,1,7,11,19,13,0,
5f4d919f-b1bc-4a3d-9d98-1f8279d51215,86.96,10,0,10,3,23,13,86.36,9,0,10,3,22,12,0,
750dfc05-c2c4-4937-a85d-46f597dc9880,60.0,7,0,8,10,25,17,50.0,2,0,8,10,20,12,0,
79e02e46-ea93-4669-9dc1-6c4339dcc6ba,81.25,12,0,1,3,16,15,100.0,10,0,1,0,11,10,1,KVEpQ
7bbd5f06-2ac0-4227-be76-4ce7ef7cb567,87.1,11,0,16,4,31,15,84.62,7,0,15,4,26,11,0,
7fd6b5f9-8b11-4085-b864-a16f92504e53,79.41,6,4,17,11,34,21,70.0,3,1,17,10,30,14,0,
8daee0cc-cbda-4cdf-b8ed-f120e3329138,76.92,9,0,1,3,13,12,100.0,7,1,1,1,9,9,0,
99d176ec-e484-4937-ae0b-9d6d2d7cb5c5,40.0,4,0,2,9,15,13,100.0,2,2,0,2,4,6,0,
a26f3d38-ed43-4289-8d34-9ee376fb779d,50.0,14,1,3,19,36,34,41.18,1,5,1,15,17,21,3,nZ8rz;V3ZDi;qVuQg
b94c0a58-b1c3-4bc8-ba02-0848b0a2af8f,86.96,3,5,12,8,23,16,90.48,2,5,12,7,21,14,0,
c5f1aee1-8170-4c1b-93e0-1f8366882689,163.64,9,9,0,2,11,20,112.5,1,2,6,1,8,4,0,
d24a5dc2-ac06-4f13-bbd1-5ec010d8d27c,80.0,5,0,7,3,15,8,72.73,3,0,5,3,11,6,0,
d521ea56-2e7b-4908-8cca-acf4a0f89337,75.86,12,0,10,7,29,19,80.95,9,0,8,4,21,13,0,
d7c521ce-dbcb-4c23-a776-66b38d8127b4,94.44,11,2,4,3,18,16,100.0,11,1,1,1,13,13,3,rtcxo;c0fMl;06PHq
d9aa182c-b21e-4ad5-8138-18d0e9f69b84,52.0,13,0,0,12,25,25,61.9,13,0,0,8,21,21,0,
e69e62f6-954a-4d0a-9989-2a2d562f66fe,92.86,12,0,1,1,14,13,111.11,8,2,0,1,9,11,0,
eacbcb92-6172-41f7-b2a9-0c4df5a3a597,68.18,15,0,0,7,22,22,93.33,14,0,0,1,15,15,0,
ec85480e-604c-4070-938f-b832e4904e9e,66.67,10,0,2,6,18,16,50.0,4,0,2,6,12,10,0,
