call_id,all_entities_eer,all_substitutions,all_insertions,all_deletions,all_correct,all_ref_total,all_hyp_total,concerned_entities_eer,concerned_substitutions,concerned_insertions,concerned_deletions,concerned_correct,concerned_ref_total,concerned_hyp_total,mispronunciation_count,pronunciation_ids
03261666-7d82-49ec-8d6e-78c2f716ad73,88.89,5,0,3,1,9,6,100.0,3,1,0,1,4,5,0,
03856e6b-6925-4012-8eb8-0a0289019b7e,95.65,6,3,13,4,23,13,95.0,3,3,13,4,20,10,0,
09f69426-e7e6-4f2a-a20a-75416d945306,146.15,10,9,0,3,13,22,170.0,7,10,0,3,10,20,0,
1bf3729b-c0a7-4f65-a846-88c8aa31a473,63.64,6,0,1,4,11,10,100.0,6,0,1,0,7,6,0,
268dbd88-173b-41a1-8363-4a6ba62b9aae,75.0,9,0,0,3,12,12,75.0,9,0,0,3,12,12,0,
332017b6-9f62-444d-a657-7b733bc727fc,84.62,10,0,1,2,13,12,100.0,7,0,1,0,8,7,0,
3502253e-259a-42d3-ab70-7aedabeb81fa,171.43,11,13,0,3,14,27,214.29,4,11,0,3,7,18,0,
429ac8a5-6f19-46b3-97bb-8e55feec389e,123.08,8,8,0,5,13,21,214.29,5,10,0,2,7,17,0,
482181f8-15e2-4ced-8a9a-67facdd9c6fc,54.55,5,1,0,6,11,12,85.71,5,1,0,2,7,8,0,
5cdef144-9d6a-4100-9be6-8489f90fc466,84.62,11,0,0,2,13,13,77.78,6,0,1,2,9,8,0,
5f4d919f-b1bc-4a3d-9d98-1f8279d51215,72.73,5,0,3,3,11,8,66.67,4,0,2,3,9,7,0,
750dfc05-c2c4-4937-a85d-46f597dc9880,66.67,7,0,1,4,12,11,42.86,2,0,1,4,7,6,0,
79e02e46-ea93-4669-9dc1-6c4339dcc6ba,81.25,11,0,2,3,16,14,100.0,9,0,2,0,11,9,1,KVEpQ
7bbd5f06-2ac0-4227-be76-4ce7ef7cb567,100.0,9,2,1,2,12,13,87.5,5,1,1,2,8,8,0,
7fd6b5f9-8b11-4085-b864-a16f92504e53,122.22,8,3,0,1,9,12,100.0,6,1,0,1,7,8,0,
8daee0cc-cbda-4cdf-b8ed-f120e3329138,81.82,7,0,2,2,11,9,100.0,6,0,1,0,7,6,0,
99d176ec-e484-4937-ae0b-9d6d2d7cb5c5,30.77,4,0,0,9,13,13,66.67,4,0,0,2,6,6,0,
a26f3d38-ed43-4289-8d34-9ee376fb779d,91.67,19,0,3,2,24,21,100.0,19,0,1,0,20,19,3,nZ8rz;V3ZDi;qVuQg
b94c0a58-b1c3-4bc8-ba02-0848b0a2af8f,114.29,5,3,0,2,7,10,140.0,3,4,0,2,5,9,0,
c5f1aee1-8170-4c1b-93e0-1f8366882689,130.0,8,5,0,2,10,15,142.86,4,4,2,1,7,9,0,
d24a5dc2-ac06-4f13-bbd1-5ec010d8d27c,80.0,5,0,11,4,20,9,76.47,3,0,10,4,17,7,0,
d521ea56-2e7b-4908-8cca-acf4a0f89337,64.29,3,1,5,6,14,10,55.56,2,0,3,4,9,6,0,
d7c521ce-dbcb-4c23-a776-66b38d8127b4,91.67,10,1,0,2,12,13,110.0,10,1,0,0,10,11,3,06PHq;c0fMl;rtcxo
d9aa182c-b21e-4ad5-8138-18d0e9f69b84,81.25,11,2,0,5,16,18,108.33,11,2,0,1,12,14,0,
e69e62f6-954a-4d0a-9989-2a2d562f66fe,91.67,9,0,2,1,12,10,100.0,7,1,0,1,8,9,0,
eacbcb92-6172-41f7-b2a9-0c4df5a3a597,90.48,11,0,8,2,21,13,100.0,10,0,5,0,15,10,0,
ec85480e-604c-4070-938f-b832e4904e9e,93.33,11,3,0,4,15,18,88.89,5,3,0,4,9,12,0,
