call_id,all_entities_eer,all_substitutions,all_insertions,all_deletions,all_correct,all_ref_total,all_hyp_total,concerned_entities_eer,concerned_substitutions,concerned_insertions,concerned_deletions,concerned_correct,concerned_ref_total,concerned_hyp_total
03261666-7d82-49ec-8d6e-78c2f716ad73,87.5,0,5,2,0,8,6,100.0,5,0,0,0,5,5
03856e6b-6925-4012-8eb8-0a0289019b7e,64.71,11,5,1,0,17,16,71.43,8,5,7,0,14,16
09f69426-e7e6-4f2a-a20a-75416d945306,160.0,16,5,10,0,31,13,84.62,2,9,21,0,26,11
1bf3729b-c0a7-4f65-a846-88c8aa31a473,88.88888888888889,5,3,0,0,9,9,100.0,4,3,1,0,5,7
268dbd88-173b-41a1-8363-4a6ba62b9aae,100.0,4,0,8,0,12,6,83.33,3,0,7,0,12,6
332017b6-9f62-444d-a657-7b733bc727fc,75.0,3,5,1,0,12,17,114.29,8,5,2,0,7,12
3502253e-259a-42d3-ab70-7aedabeb81fa,66.67,11,3,9,0,12,15,128.57,1,4,1,0,7,11
429ac8a5-6f19-46b3-97bb-8e55feec389e,66.67,10,4,10,0,21,14,81.82,8,2,1,0,11,10
482181f8-15e2-4ced-8a9a-67facdd9c6fc,85.71,6,4,4,0,14,12,110.0,3,3,8,0,10,8
5cdef144-9d6a-4100-9be6-8489f90fc466,92.31,8,3,2,0,13,11,81.82,7,0,2,0,11,8
5f4d919f-b1bc-4a3d-9d98-1f8279d51215,83.33,3,3,0,0,6,7,75.0,3,2,0,0,4,6
750dfc05-c2c4-4937-a85d-46f597dc9880,57.89,5,2,11,0,19,9,66.67,1,0,5,0,9,4
79e02e46-ea93-4669-9dc1-6c4339dcc6ba,58.82,6,1,3,0,17,17,90.91,9,2,0,0,11,13
7bbd5f06-2ac0-4227-be76-4ce7ef7cb567,41.67,5,5,0,0,12,13,87.5,1,5,2,0,8,9
7fd6b5f9-8b11-4085-b864-a16f92504e53,140.0,5,9,3,0,10,20,100.0,7,2,3,0,8,9
8daee0cc-cbda-4cdf-b8ed-f120e3329138,72.73,4,0,4,0,11,8,71.43,5,0,0,0,7,5
99d176ec-e484-4937-ae0b-9d6d2d7cb5c5,46.15,4,2,0,0,13,13,83.333,4,2,2,0,6,6
a26f3d38-ed43-4289-8d34-9ee376fb779d,75.0,3,4,2,0,28,20,37.5,2,5,1,0,24,18
b94c0a58-b1c3-4bc8-ba02-0848b0a2af8f,83.33,3,0,7,0,12,12,87.5,3,0,7,0,11,11
c5f1aee1-8170-4c1b-93e0-1f8366882689,60.0,6,5,0,0,10,14,85.71,2,3,3,0,7,8
d24a5dc2-ac06-4f13-bbd1-5ec010d8d27c,87.5,4,2,1,0,8,7,80.0,2,3,3,0,5,5
d521ea56-2e7b-4908-8cca-acf4a0f89337,69.23,5,1,3,0,13,12,62.5,4,2,2,0,8,7
d7c521ce-dbcb-4c23-a776-66b38d8127b4,58.82,10,2,8,0,17,15,77.78,5,2,2,0,9,10
d9aa182c-b21e-4ad5-8138-18d0e9f69b84,41.18,9,2,5,0,17,16,92.86,8,6,5,0,14,14
e69e62f6-954a-4d0a-9989-2a2d562f66fe,80.0,2,5,9,0,16,8,75.0,5,0,4,0,12,7
eacbcb92-6172-41f7-b2a9-0c4df5a3a597,72.41,4,9,16,0,29,20,95.65,17,4,0,0,23,13
ec85480e-604c-4070-938f-b832e4904e9e,80.0,9,10,1,0,14,22,62.5,1,5,0,0,8,15
