call_id,all_entities_eer,all_substitutions,all_insertions,all_deletions,all_correct,all_ref_total,all_hyp_total,concerned_entities_eer,concerned_substitutions,concerned_insertions,concerned_deletions,concerned_correct,concerned_ref_total,concerned_hyp_total,mispronunciation_count,pronunciation_ids
03261666-7d82-49ec-8d6e-78c2f716ad73,75.0,2,0,4,4,8,5,40.0,0,0,2,3,5,3,0,
03856e6b-6925-4012-8eb8-0a0289019b7e,9.09,1,0,1,21,22,19,9.09,1,0,1,21,22,19,0,
09f69426-e7e6-4f2a-a20a-75416d945306,0.0,0,0,0,12,12,12,0.0,0,0,0,12,12,12,0,
1bf3729b-c0a7-4f65-a846-88c8aa31a473,8.33,1,0,0,11,12,12,8.33,1,0,0,11,12,12,0,
268dbd88-173b-41a1-8363-4a6ba62b9aae,10.0,1,0,1,18,20,19,10.0,1,0,1,18,20,19,0,
332017b6-9f62-444d-a657-7b733bc727fc,9.09,1,0,0,10,11,11,9.09,1,0,0,10,11,11,0,
3502253e-259a-42d3-ab70-7aedabeb81fa,0.0,0,0,0,16,16,16,0.0,0,0,0,16,16,16,0,
429ac8a5-6f19-46b3-97bb-8e55feec389e,9.09,1,0,0,10,11,11,9.09,1,0,0,10,11,11,0,
482181f8-15e2-4ced-8a9a-67facdd9c6fc,16.67,1,1,1,11,12,12,8.33,1,0,0,11,12,12,0,
5cdef144-9d6a-4100-9be6-8489f90fc466,0.0,0,0,0,15,15,15,0.0,0,0,0,15,15,15,0,
5f4d919f-b1bc-4a3d-9d98-1f8279d51215,28.57,1,1,0,6,7,7,28.57,1,1,0,6,7,7,0,
750dfc05-c2c4-4937-a85d-46f597dc9880,9.09,1,0,0,10,11,11,0.0,0,0,0,0,0,0,0,
79e02e46-ea93-4669-9dc1-6c4339dcc6ba,0.0,0,0,0,16,16,16,0.0,0,0,0,16,16,16,1,KVEpQ
7bbd5f06-2ac0-4227-be76-4ce7ef7cb567,16.67,1,1,1,10,12,11,16.67,1,1,1,10,12,11,0,
7fd6b5f9-8b11-4085-b864-a16f92504e53,77.78,1,4,2,6,9,10,33.33,1,0,2,6,9,6,0,
8daee0cc-cbda-4cdf-b8ed-f120e3329138,10.0,1,0,0,9,10,9,10.0,1,0,0,9,10,9,0,
99d176ec-e484-4937-ae0b-9d6d2d7cb5c5,0.0,0,0,0,13,13,13,0.0,0,0,0,13,13,13,0,
a26f3d38-ed43-4289-8d34-9ee376fb779d,18.18,1,0,1,9,11,10,18.18,1,0,1,9,11,10,3,qVuQg;V3ZDi;nZ8rz
b94c0a58-b1c3-4bc8-ba02-0848b0a2af8f,33.33,1,1,1,5,6,6,33.33,1,1,1,5,6,6,0,
c5f1aee1-8170-4c1b-93e0-1f8366882689,111.11,1,9,0,8,9,18,22.22,1,1,0,8,9,10,0,
d24a5dc2-ac06-4f13-bbd1-5ec010d8d27c,0.0,0,0,0,10,10,10,0.0,0,0,0,10,10,10,0,
d521ea56-2e7b-4908-8cca-acf4a0f89337,0.0,0,0,0,14,14,14,0.0,0,0,0,14,14,14,0,
d7c521ce-dbcb-4c23-a776-66b38d8127b4,28.57,2,2,2,12,14,14,28.57,2,2,2,12,14,14,3,c0fMl;rtcxo;06PHq
d9aa182c-b21e-4ad5-8138-18d0e9f69b84,17.65,2,2,1,15,17,17,17.65,2,2,1,15,17,17,0,
e69e62f6-954a-4d0a-9989-2a2d562f66fe,18.18,2,0,2,9,11,9,0.0,0,0,0,0,0,0,0,
eacbcb92-6172-41f7-b2a9-0c4df5a3a597,7.69,1,0,0,12,13,13,7.69,1,0,0,12,13,13,0,
ec85480e-604c-4070-938f-b832e4904e9e,6.25,1,0,0,15,16,16,6.25,1,0,0,15,16,16,0,
